Категорія ;Назва об'єкта українською мовою;Код
Село;БАЙДАКОВЕ;3524685802
Село;ПОПІВКА;3524686201
Село;КАЛАЧІВКА;3524686203
Село;КОСТЯНТИНІВКА;3524686205
Село;ЛЮБІВКА;3524686207
Село;ПАВЛОВОЛУЙСЬК;3524686209
Село;СОЛДАТСЬКЕ;3524686211
Село;УСПЕНКА;3524687701
Село;ДАЧА;3524687702
СМТ;ПЕТРОВЕ;3524955100
Село;НОВОМАНУЙЛІВКА;3524955101
Село;ОЛЕКСАНДРОДАР;3524955102
Село;ПОКРОВКА;3524955103
СМТ;БАЛАХІВКА;3524955300
Село;ГАННІВКА;3524980401
Село;ВОЛОДИМИРІВКА;3524980402
Село;РЯДОВЕ;3524980403
Село;БОГДАНІВКА;3524980801
Село;МАЛА ГАННІВКА;3524980802
Село;СОЛДАТСЬКЕ;3524980803
Село;ВОДЯНЕ;3524981301
Село;МАЛОВОДЯНЕ;3524981302
Село;САБАДАШЕВЕ;3524981303
Село;ЗЕЛЕНЕ;3524981901
Село;АРТЕМІВКА;3524981902
Село;ІВАНІВКА;3524982501
Село;ІСКРІВКА;3524982901
Село;НОВОФЕДОРІВКА;3524982902
Село;ЙОСИПІВКА;3524983001
Село;ЛУГАНКА;3524983101
Село;БРАТСЬКЕ;3524983102
Село;МАЛИНІВКА;3524983401
Село;НОВИЙ СТАРОДУБ;3524983701
Село;МАР'ЯНІВКА;3524983702
Село;ОЛІМПІАДІВКА;3524983703
Село;ФЕДОРІВКА;3524983707
Село;ЧЕРВОНОСІЛЛЯ;3524983709
Село;КОЗАЦЬКЕ;3524984801
Село;ЗЕЛЕНИЙ ГАЙ;3524984802
Село;ЛАНИ;3524984804
Село;ОЛЕКСАНДРО-МАР'ЇВКА;3524984805
Село;ЧЕРВОНОКОСТЯНТИНІВКА;3524985901
Село;БАШТИНЕ;3524985902
Село;КРАСНОПІЛЛЯ;3524985903
Село;ЛЕЛЕКІВКА;3524985904
Село;НОВОПЕТРІВКА;3524985905
Село;ЧЕЧЕЛІЇВКА;3524986601
Село;ОЛЕКСАНДРІВКА;3524986602
Село;ВЕЛИКА АНДРУСІВКА;3525280501
Село;ВИЩЕПАНІВКА;3525280502
Село;КАЛАНТАЇВ;3525280503
Село;СНІЖКОВА БАЛКА;3525280504
Село;БАБИЧІВКА;3525280505
Село;НАГІРНЕ;3525280506
Село;ПОДОРОЖНЄ;3525280507
Село;ВЕЛИКА СКЕЛЬОВА;3525280701
Село;МАЛА СКЕЛЬОВА;3525280705
Село;ГЛИНСЬК;3525281201
Село;АРСЕНІВКА;3525281202
Село;ГАННІВКА;3525281203
Село;СЕМИГІР'Я;3525281204
Село;ГРИГОРІВКА;3525281801
Село;КОБЗАРІВКА;3525281802
Село;ОВРАГОВЕ;3525281803
Село;ПЕРЕХРЕСТІВКА;3525281804
Село;ЯРЕМІВКА;3525281805
Село;ЗАХАРІВКА;3525282401
Село;АУДИТОРІВКА;3525282402
Село;СЕРЕБРЯНЕ;3525282403
Село;ІВАНІВКА;3525283501
Село;МИРОНІВКА;3525284601
Село;МИКІЛЬСЬКЕ;3525285201
Село;БУГРУВАТКА;3525285202
Село;ЗОЛОТАРІВКА;3525285203
Село;ОЗЕРА;3525285801
Село;ОЛЕКСІЇВКА;3525285802
Село;ТАЛОВА БАЛКА;3525285803
Село;ПАВЛІВКА;3525286901
Село;ВІЛЬНЕ;3525286902
Село;ФЕДІРКИ;3525288101
Село;СНІЖКОВЕ;3525288102
Місто;БЛАГОВІЩЕНСЬКЕ;3525510100
Село;БОГДАНОВЕ;3525580401
Село;МАНЬКІВСЬКЕ;3525580402
Село;ВЕЛИКІ ТРОЯНИ;3525580801
Село;ГРУШКА;3525581301
Село;СТАНІСЛАВОВЕ;3525581302
Село;ДАНИЛОВА БАЛКА;3525581901
Село;ШЕВЧЕНКА;3525581902
Село;ЙОСИПІВКА;3525582501
Село;КАМ'ЯНИЙ БРІД;3525583601
Село;ПЕТРІВКА;3525583602
Село;ХРИСТОФОРОВЕ;3525583603
Село;КАМ'ЯНА КРИНИЦЯ;3525584201
Село;ЛОЗУВАТА;3525584801
Село;ДЕЛЬФІНОВЕ;3525584802
Село;ЗМІЙОВЕ;3525584803
Село;ЛУПОЛОВЕ;3525585201
Село;КОШАРО-ОЛЕКСАНДРІВКА;3525585202
Село;МЕЧИСЛАВКА;3525585501
Село;НОВОСЕЛИЦЯ;3525586001
Село;ВІЛЬХОВЕ;3525587101
Село;СЕРГІЇВКА;3525587102
Село;РОЗНОШЕНСЬКЕ;3525588201
Село;САБАТИНІВКА;3525588601
Село;СИНИЦІВКА;3525589001
Село;ШАМРАЄВЕ;3525589701
Село;СИНЬКИ;3525589901
СМТ;УСТИНІВКА;3525855100
Село;ОЛЕКСАНДРІВКА;3525880201
Село;КОЗЛІВСЬКЕ;3525880203
Село;ГАННО-ЛЕОНТОВИЧЕВЕ;3525880301
Село;МАЛА ГАННІВКА;3525880302
Село;НОВОЧИГИРИНКА;3525880303
Село;ГАННО-ТРЕБИНІВКА;3525880401
Село;КОСТЯНТИНІВКА;3525880402
Село;БЕРЕЗІВКА;3525881201
Село;БРУСІВКА;3525881601
Село;НОВОІГОРІВКА;3525882301
Село;МАР'ЯНІВКА;3525882302
Село;ТИРЛОВА БАЛКА;3525882303
Село;ТРЕТЄ;3525882304
Село;ДОКУЧАЄВЕ;3525884401
Село;МАЛЬЧЕВСЬКЕ;3525884402
Село;МЕДОВЕ;3525884403
Село;ЛЕБЕДИНЕ;3525884701
Село;НОВОКИЇВКА;3525884703
Село;ІНГУЛЬСЬКЕ;3525884901
Село;ЗАВТУРОВЕ;3525884902
Село;ЛЮБОВИЧКА;3525884903
Село;МЕДВЕЖА БАЛКА;3525884904
Село;КРИНИЧУВАТКА;3525885601
Село;БЕРЕЗУВАТКА;3525885602
Село;КРИНИЧНЕ;3525886701
Село;НАРИМАНІВКА;3525886703
Село;НОВОУСТИНІВКА;3525886704
Село;САДКИ;3525886705
Село;СЕДНІВКА;3525887801
Село;ПЕРЕМОЖНЕ;3525887802
Село;СЕЛІВАНОВЕ;3525887803
Село;СОНЦЕВЕ;3525888001
Село;СТЕПАНІВКА;3525888301
Село;СТЕПОВЕ;3525888302
Село;ОРЛОВА БАЛКА;3525888303
Місто;ОЛЕКСАНДРІВСЬК;4410160300
Селище;ЗРАЗКОВЕ;4410160301
Селище;ТЕПЛИЧНЕ;4410160303
СМТ;КАТЕРИНІВКА;4410165900
Місто;АНТРАЦИТ;4410300000
СМТ;БОКОВО-ПЛАТОВЕ;4410345300
Селище;ЛІСНЕ;4410345301
Селище;МЕЛЬНИКОВЕ;4410345303
Селище;САДОВИЙ;4410345305
Селище;ХРИСТОФОРІВКА;4410345307
СМТ;ВЕРХНІЙ НАГОЛЬЧИК;4410345600
СМТ;ДУБІВСЬКИЙ;4410345900
Село;ОРІХОВЕ;4410345901
СМТ;КАМ'ЯНЕ;4410346200
СМТ;КРІПЕНСЬКИЙ;4410346500
СМТ;ЩОТОВЕ;4410346900
Село;ЗЕЛЕНИЙ КУРГАН;4410346901
Селище;СТЕПОВЕ;4410346903
Місто;БРЯНКА;4410500000
СМТ;ГАННІВКА;4410545200
СМТ;ВЕРГУЛІВКА;4410545300
СМТ;ГЛИБОКИЙ;4410545900
СМТ;ЛОМУВАТКА;4410546200
СМТ;ЮЖНА ЛОМУВАТКА;4410546500
Місто;ГОЛУБІВКА;4411000000
СМТ;ДОНЕЦЬКИЙ;4411045300
СМТ;КРИНИЧАНСЬКЕ;4411045700
Селище;КРИНИЧНЕ;4411045701
Селище;ТАВРИЧАНСЬКЕ;4411045703
Місто;АЛЧЕВСЬК;4411200000
Місто;СОРОКИНЕ;4411400000
СМТ;ГІРНЕ;4411445300
СМТ;ІЗВАРИНЕ;4411445600
СМТ;КРАСНОДАРСЬКИЙ;4411445900
СМТ;ТЕПЛЕ;4411446200
Селище;СВІТЛИЧНЕ;4411446201
СМТ;СЄВЕРНИЙ;4411446500
СМТ;СЄВЕРО-ГУНДОРІВСЬКИЙ;4411446800
СМТ;УРАЛО-КАВКАЗ;4411447100
Селище;ЗАХІДНИЙ;4411447101
СМТ;БУРАН;4411447400
Селище;ШИРОКЕ;4411447401
Місто;МОЛОДОГВАРДІЙСЬК;4411470400
Селище;НОВОСІМЕЙКІНЕ;4411470401
Місто;СУХОДІЛЬСЬК;4411470700
Місто;ХРУСТАЛЬНИЙ;4411600000
СМТ;ГРУШОВЕ;4411645400
СМТ;ЗАПОРІЖЖЯ;4411645700
Село;ЖЕРЕБ'ЯЧЕ;4411645701
Селище;КОМЕНДАНТСЬКЕ;4411645703
СМТ;КНЯГИНІВКА;4411646000
СМТ;САДОВО-ХРУСТАЛЬНЕНСЬКИЙ;4411646400
СМТ;СОФІЇВСЬКИЙ;4411646700
Селище;ДАВИДІВКА;4411646701
СМТ;ФЕДОРІВКА;4411647000
СМТ;ХРУСТАЛЬНЕ;4411647300
Селище;ХРУСТАЛЬНИЙ;4411647301
СМТ;ШТЕРІВКА;4411647600
Місто;БОКОВО-ХРУСТАЛЬНЕ;4411670300
Селище;ТРУБНИЙ;4411670301
Місто;МІУСИНСЬК;4411670600
Село;КОРІННЕ;4411670601
Село;ЛІСНЕ;4411670603
Село;НОВОЄЛИЗАВЕТІВКА;4411670605
Місто;ПЕТРОВО-КРАСНОСІЛЛЯ;4411670900
Селище;БУТКЕВИЧ;4411670901
Селище;ВЕРГУЛІВСЬКЕ;4411670903
Село;ВОСКРЕСЕНІВКА;4411670905
Місто;ЛИСИЧАНСЬК;4411800000
Місто;НОВОДРУЖЕСЬК;4411870400
Місто;ПРИВІЛЛЯ;4411870700
Місто;ПЕРВОМАЙСЬК;4412100000
Місто;РОВЕНЬКИ;4412300000
СМТ;ВЕЛИКОКАМ'ЯНКА;4412345400
СМТ;ГІРНИК;4412345700
СМТ;ЛЮБИМІВКА;4412345800
СМТ;КЛЕНОВИЙ;4412346000
Село;КОРОБКИНЕ;4412346001
Селище;ПОКРОВКА;4412346003
СМТ;МИХАЙЛІВКА;4412346400
СМТ;НАГОЛЬНО-ТАРАСІВКА;4412346700
Село;БЕРЕЗІВКА;4412346701
СМТ;НОВОДАР'ЇВКА;4412346900
Селище;ВАЛЯНІВСЬК;4412346901
Селище;КАЛИНІВКА;4412346905
СМТ;КАРТУШИНЕ;4412347100
Селище;НОВОУКРАЇНКА;4412347101
Село;ЗАЛІЗНИЧНЕ;4412347103
СМТ;ТАЦИНЕ;4412347300
СМТ;ЯСЕНІВСЬКИЙ;4412347700
Село;ЛОБІВСЬКІ КОПАЛЬНІ;4412347701
Село;БЛАГІВКА;4412391001
Село;ГРИБУВАХА;4412391002
Село;НОВОДАР'ЇВКА;4412391003
Село;ПЛАТОНІВКА;4412391004
Село;УЛЯНІВКА;4412391005
Місто;РУБІЖНЕ;4412500000
Місто;ДОВЖАНСЬК;4412700000
СМТ;ВЕДМЕЖЕ;4412745300
СМТ;КУНДРЮЧЕ;4412745700
Село;КОНДРЮЧЕ;4412745701
Селище;ХМЕЛЬНИЦЬКИЙ;4412745702
СМТ;ДУБОВЕ;4412746000
Селище;ПРОХЛАДНЕ;4412746002
СМТ;ВАЛЬЯНІВСЬКЕ;4412746300
Село;МАЛОВЕДМЕЖЕ;4412746302
Селище;УСТИНІВКА;4412746304
Селище;ФЕДОРІВКА;4412746306
СМТ;ПАВЛІВКА;4412746600
СМТ;ШАХТАРСЬКЕ;4412746900
Селище;КИСЕЛЕВЕ;4412746905
Місто;ВОЗНЕСЕНІВКА;4412770600
Місто;СЄВЄРОДОНЕЦЬК;4412900000
СМТ;БОРІВСЬКЕ;4412945200
Село;БОБРОВЕ;4412945201
Село;ОСКОЛОНІВКА;4412945203
СМТ;ВОРОНОВЕ;4412945300
СМТ;МЕТЬОЛКІНЕ;4412945600
СМТ;СИРОТИНЕ;4412945900
Селище;ЛІСНА ДАЧА;4412990001
Село;ВОЄВОДІВКА;4412990002
Селище;ПАВЛОГРАД;4412990003
Селище;СИНЕЦЬКИЙ;4412990005
Місто;КАДІЇВКА;4413100000
Місто;АЛМАЗНА;4413170200
Місто;ІРМІНО;4413170800
СМТ;ЄСАУЛІВКА;4420355300
СМТ;ІВАНІВКА;4420355600
Селище;КОВИЛЬНЕ;4420355603
Селище;СТЕПОВЕ;4420355606
СМТ;КРАСНИЙ КУТ;4420355900
Селище;ІНДУСТРІЯ;4420355901
Селище;ТАМАРА;4420355902
Селище;УРОЖАЙНЕ;4420355903
СМТ;МАЛОМИКОЛАЇВКА;4420356200
Село;ЄЛИЗАВЕТІВКА;4420356201
Село;ЗАХІДНЕ;4420356202
СМТ;НИЖНІЙ НАГОЛЬЧИК;4420356500
СМТ;ФАЩІВКА;4420357200
Село;БОБРИКОВЕ;4420381101
Село;ВИШНЕВЕ;4420381102
Село;ЄГОРІВКА;4420381103
Село;КЛУНИКОВЕ;4420381104
Село;НОВОКРАСНІВКА;4420381105
Село;ДЯКОВЕ;4420382201
Село;ЛЕОНОВЕ;4420382202
Селище;КОШАРИ;4420383001
Село;ЛОЗИ;4420383002
Селище;КРАСНОЛУЦЬКИЙ;4420383301
Село;ЗЕЛЕНИЙ ГАЙ;4420383302
Селище;КОЗАКІВКА;4420383303
Селище;КУРГАН;4420383304
Селище;ОРЛІВСЬКЕ;4420383305
Село;МИКИТІВКА;4420384401
Село;БАШТЕВИЧ;4420384402
Село;ГАННІВКА;4420384403
Селище;СОНЯЧНЕ;4420384405
Селище;ШИРОКИЙ;4420384407
Село;РАФАЙЛІВКА;4420385501
Село;ІЛЛІНКА;4420385502
Село;ЛЕСЬКИНЕ;4420385504
Село;РЕБРИКОВЕ;4420386601
Село;ВЕРБІВКА;4420386602
Село;КАРТУШИНЕ;4420386603
Село;МЕЧЕТКА;4420386604
Село;ЧЕРВОНА ПОЛЯНА;4420387701
Село;ЗЕЛЕНОДІЛЬСЬКЕ;4420387702
Селище;КОВПАКОВЕ;4420387703
СМТ;БІЛОВОДСЬК;4420655100
Село;БАРАНИКІВКА;4420655101
Село;БРУСІВКА;4420655102
Село;ВІТРОГОН;4420655103
Село;ГАРМАШІВКА;4420655104
Село;ГОНЧАРОВЕ;4420655105
Село;ГОРОДИЩЕ;4420655106
Село;ГОРОДНЄ;4420655107
Село;ДАНИЛІВКА;4420655108
Село;ЄВСУГ;4420655109
Село;ЗЕЛЕКІВКА;4420655110
Село;КОНОНІВКА;4420655111
Село;КОПАНІ;4420655112
Село;КРЕЙДЯНЕ;4420655113
Село;ЛИМАРІВКА;4420655114
Село;ЛИТВИНІВКА;4420655115
Село;НИЖНЬОБАРАНИКІВКА;4420655116
Село;НОВОДЕРКУЛ;4420655117
Село;НОВОЛИМАРІВКА;4420655118
Село;НОВООЛЕКСАНДРІВКА;4420655119
Село;НОВОСПАСІВКА;4420655120
Село;НОЗДРІВКА;4420655121
Село;ПАРНЕВЕ;4420655122
Село;ПЕРВОМАЙСЬК;4420655123
Село;ПЛУГАТАР;4420655124
Село;ПРИВІЛЬНЕ;4420655125
Село;РОЗДОЛЛЯ;4420655126
Село;СЕМИКОЗІВКА;4420655127
Село;СТЕПОВЕ;4420655128
Село;ТЕРНОВЕ;4420655129
Село;ТРЕТЯКІВКА;4420655130
Село;УЗЛІССЯ;4420655131
Село;ШУЛІКІВКА;4420655132
СМТ;БІЛОКУРАКИНЕ;4420955100
Село;БУНЧУКІВКА;4420955101
Село;ГРИЦАЇВКА;4420955102
Село;ДЕМ'ЯНІВКА;4420955103
Село;ЗАЇКІВКА;4420955104
Село;КАЛИНІВСЬКЕ;4420955105
Село;КЛИМІВКА;4420955106
Село;КОНОПЛЯНІВКА;4420955107
Село;КУРЯЧІВКА;4420955108
Село;ЛИЗИНЕ;4420955109
Село;ЛУБ'ЯНКА;4420955110
Село;ЛЯШКІВКА;4420955111
Село;НЕЩЕРЕТОВЕ;4420955112
Село;ОЛЕКСАНДРОПІЛЬ;4420955113
Село;ОЛЕКСІЇВКА;4420955114
Село;ПАНЬКІВКА;4420955115
Село;ПОПІВКА;4420955116
Село;ПРИХОДЬКІВКА;4420955117
Село;РОМАНІВКА;4420955118
Село;РУДОВЕ;4420955119
Село;ХОМЕНКОВЕ ПЕРШЕ;4420955120
Село;ЦІЛУЙКОВЕ;4420955121
Село;ШАПАРІВКА;4420955122
Село;ШОВКУНІВКА;4420955123
СМТ;ЛОЗНО-ОЛЕКСАНДРІВКА;4420955700
Село;ОЛЕКСАПІЛЬ;4420955701
Село;ПЕТРІВКА;4420955702
Село;ГЛАДКОВЕ;4420955703
Село;КАЛИНОВА БАЛКА;4420955704
Село;КОЧИНЕ-РОЗПАСІЇВКА;4420955705
Село;МИКОЛАЇВКА;4420955706
Селище;МИРНЕ;4420955707
Село;НОВОПОКРОВКА;4420955708
Село;НЯНЧИНЕ;4420955709
Село;ПОПАСНЕ;4420955710
Село;СОЛІДАРНЕ;4420955711
Село;ПАВЛІВКА;4420987201
Село;ЗАВОДЯНКА;4420987202
Село;СТАТИВЧИНЕ;4420987203
Село;ХОМЕНКОВЕ ДРУГЕ;4420987204
Село;ПРОСТОРЕ;4420987701
Село;КАРТАМИШЕВЕ;4420987702
Село;МАНЬКІВКА;4420987703
Село;ПЛАХО-ПЕТРІВКА;4420987705
Село;СВІТЛЕНЬКЕ;4420987706
Село;ТИМОШИНЕ;4420988001
Село;КУПЛЮВАТЕ;4420988002
Село;НОВОАНДРІЇВКА;4420988004
Село;ОСИКОВЕ;4420988006
Село;ЧАБАНОВЕ;4420988009
Село;ШАРІВКА;4420988801
Село;ЛОЗНЕ;4420988802
СМТ;ВЕЛИКИЙ ЛОГ;4421455300
Селище;ВЕРХНЯ КРАСНЯНКА;4421455302
СМТ;МИРНЕ;4421455700
СМТ;НОВООЛЕКСАНДРІВКА;4421456000
Село;ДУБІВКА;4421456001
СМТ;НОВОСВІТЛІВКА;4421456200
Село;КАТЕРИНІВКА;4421456204
Село;ЛИСЕ;4421456206
СМТ;СІМЕЙКИНЕ;4421456500
Село;ГЛИБОКЕ;4421456501
Село;КРАСНИЙ ЯР;4421456502
Село;ГОРІХОВА БАЛКА;4421456503
СМТ;ТАЛОВЕ;4421456900
Село;БІЛОСКЕЛЮВАТЕ;4421480801
Село;ГАБУН;4421480802
Село;ДРУЖНЕ;4421480803
Село;ЛИПОВЕ;4421480804
Село;РАДІСНЕ;4421480805
Село;ВЕРХНЬОГАРАСИМІВКА;4421481101
Село;ВЛАСІВКА;4421481102
Село;МИКИШІВКА;4421481104
Село;НИЖНЯ ГАРАСИМІВКА;4421481105
Село;ВЕРХНЬОШЕВИРІВКА;4421482201
Село;БАТИР;4421482202
Село;ВЕРХНЬОДЕРЕВЕЧКА;4421482203
Село;НИЖНЬОДЕРЕВЕЧКА;4421482204
Селище;НИЖНЯ ШЕВИРІВКА;4421482205
Селище;МАЛОКАЛИНОВЕ;4421482206
Село;ДАВИДО-МИКІЛЬСЬКЕ;4421483001
Село;ВОДОТОК;4421483002
Село;ІВАНІВКА;4421483003
Село;ПАНТЕЛІЇВКА;4421483004
Село;НОВОГАННІВКА;4421485501
Село;АНДРІЇВКА;4421485502
Село;КРАСНЕ;4421485503
Село;МАКАРІВ ЯР;4421486601
Село;БЕРЕГОВЕ;4421486602
Село;ІЛЛІВКА;4421486603
Село;КРУЖИЛІВКА;4421486604
Село;НОВОКИЇВКА;4421486605
Село;ОГУЛЬЧАНСЬК;4421486606
Село;ХОРОШИЛОВЕ;4421486607
Село;ХРЯЩІВКА;4421486608
Селище;ПОРІЧЧЯ;4421487001
Село;КОРОЛІВКА;4421487002
Село;ВЕЛИКИЙ СУХОДІЛ;4421487701
Село;БІЛЕНЬКЕ;4421487702
Село;МАЛИЙ СУХОДІЛ;4421487703
Село;ПІДГІРНЕ;4421487704
Село;ПОПІВКА;4421487705
Село;САМСОНІВКА;4421488801
Село;ПРИДОРОЖНЕ;4421488803
Селище;ХРЯЩУВАТЕ;4421489301
Село;ВАЛІЇВКА;4421489303
Село;ВИДНО-СОФІЇВКА;4421489304
Село;ВИШНЕВИЙ ДІЛ;4421489305
Село;КОМІСАРІВКА;4421489307
Село;ТЕРНОВЕ;4421489309
Місто;КРЕМІННА;4421610100
Селище;ЖИТЛІВКА;4421610101
Селище;КУЗЬМИНЕ;4421610102
Селище;СТАРА КРАСНЯНКА;4421610103
Селище;ДІБРОВА;4421610104
СМТ;КРАСНОРІЧЕНСЬКЕ;4421655400
Село;ЗАЛИМАН;4421655401
Село;ПЛОЩАНКА;4421655402
Село;БАРАНИКІВКА;4421655403
Село;НОВООЛЕКСАНДРІВКА;4421655404
Село;БОРОВЕНЬКИ;4421680401
Село;БУЛГАКІВКА;4421680701
Село;ПРОГРЕС;4421680702
Село;ШЕВЧЕНКО;4421680703
Село;ВАРВАРІВКА;4421681001
Село;ЗАТИШНЕ;4421681002
Село;КРУТЕНЬКЕ;4421681003
Село;ГОЛУБІВКА;4421681301
Село;КЛИМІВКА;4421681302
Село;СКАРГІВКА;4421681303
Село;ЄПІФАНІВКА;4421681601
Село;КУДРЯШІВКА;4421681901
Село;ПІВНЕВЕ;4421681903
Село;МАКІЇВКА;4421682201
Село;ГРЕКІВКА;4421682203
Село;МИХАЙЛІВКА;4421682601
Село;ПРИСТИНЕ;4421682602
Село;НЕВСЬКЕ;4421683201
Село;НОВОЛЮБІВКА;4421683202
Село;НОВА АСТРАХАНЬ;4421684301
Село;НОВОВОДЯНЕ;4421684501
Село;НОВОКРАСНЯНКА;4421685401
Село;ПШЕНИЧНЕ;4421685402
Село;СУРОВЦІВКА;4421685403
Село;НОВОМИКІЛЬСЬКЕ;4421686501
Село;ЧЕРВОНОПОПІВКА;4421687301
Село;ГОЛИКОВЕ;4421687302
Село;ПІЩАНЕ;4421687303
Місто;ЛУТУГИНЕ;4422210100
СМТ;БІЛЕ;4422255300
СМТ;БІЛОРІЧЕНСЬКИЙ;4422255500
Селище;ЗБІРНЕ;4422255501
Селище;КОМИШУВАХА;4422255502
Селище;КАМ'ЯНИЙ ПЛАСТ;4422255503
Селище;ШИМШИНІВКА;4422255504
СМТ;ВРУБІВСЬКИЙ;4422255800
Селище;НОВОПАВЛІВКА;4422255801
СМТ;ГЕОРГІЇВКА;4422256100
Село;ПЕРЕМОЖНЕ;4422256102
СМТ;МАРІЯ;4422256400
СМТ;УСПЕНКА;4422256800
Селище;МИРНЕ;4422256802
СМТ;ЧЕЛЮСКІНЕЦЬ;4422257000
СМТ;ЮР'ЇВКА;4422257400
Село;ВЕСЕЛА ТАРАСІВКА;4422281101
Село;ГАЙОВЕ;4422281102
Село;ВОЛНУХИНЕ;4422281301
Село;ВЕРХНЯ ОРІХІВКА;4422281302
Село;МАР'ЇВКА;4422281304
Селище;КЛЮЧОВЕ;4422281305
Селище;ЛІСНЕ;4422281307
Село;НОВОФЕДОРІВКА;4422281309
Село;ПЕТРО-МИКОЛАЇВКА;4422281311
Село;ІЛЛІРІЯ;4422282201
Село;ВЕЛИКА МАРТИНІВКА;4422282202
Село;ЗАХІДНЕ;4422282203
Село;МАЛА МАРТИНІВКА;4422282204
Село;МАЛА ЮР'ЇВКА;4422282205
Село;УШАКІВКА;4422282206
Селище;ЯСНЕ;4422282207
Село;КАМ'ЯНКА;4422283301
Село;БОКОВЕ;4422283302
Село;МАКЕДОНІВКА;4422283303
Село;ПАЛІЇВКА;4422283304
Село;ОРІХІВКА;4422284401
Село;КРУГЛИК;4422284403
Село;НОВОБУЛАХІВКА;4422284405
Село;ШОВКОВА ПРОТОКА;4422284406
Село;ПЕРШОЗВАНІВКА;4422285501
Село;ГЛАФІРІВКА;4422285503
Село;П'ЯТИГОРІВКА;4422285507
Село;РОЗКІШНЕ;4422286601
Селище;ФАБРИЧНЕ;4422287001
СМТ;МАРКІВКА;4422555100
Село;ДЕРКУЛОВЕ;4422555101
Село;БОНДАРІВКА;4422581101
Село;КУРЯЧІВКА;4422581102
Село;НОВА УКРАЇНА;4422581103
Село;ГЕРАСЬКІВКА;4422582201
Село;РУДІВКА;4422582202
Село;ТЕРНІВКА;4422582203
Село;КАБИЧІВКА;4422583301
Село;ВЕСЕЛЕ;4422583302
Село;ЛИПОВЕ;4422583303
Село;КРАСНЕ ПОЛЕ;4422584401
Село;ВИСОЧИНІВКА;4422584402
Село;ГЕРАСЬКІВСЬКЕ;4422584403
Село;КАСЬКІВКА;4422584404
Село;ПЕРВОМАЙСЬКЕ;4422584405
Село;КРИЗЬКЕ;4422585501
Село;СИЧІВКА;4422585502
Село;ЛІСНА ПОЛЯНА;4422586601
Село;КРУПЧАНСЬКЕ;4422586602
Село;МАРКІВСЬКЕ;4422586603
Село;СКОРОДНА;4422586604
Село;ТИШКІВКА;4422586605
Село;ФАРТУКІВКА;4422586606
Село;ПРОСЯНЕ;4422587701
Село;ЛИМАРІВКА;4422587702
Село;РОЗСОХУВАТЕ;4422587703
Село;СИЧАНСЬКЕ;4422588801
Село;БОНДАРНЕ;4422588802
Село;ВИНОГРАДНЕ;4422588803
Село;ГОРОДИЩЕ;4422588804
Село;КАРАВАН-СОЛОДКИЙ;4422588805
Село;КРЕЙДЯНЕ;4422588806
Село;ЛОБАСОВЕ;4422588807
СМТ;МІЛОВЕ;4422855100
Село;БОНДАРІВКА;4422855101
Село;ОЛЕКСІЇВКА;4422855103
Село;ТРАВНЕВЕ;4422855105
Село;ВЕЛИКОЦЬК;4422881101
Село;ЖУРАВСЬКЕ;4422881102
Село;КРИНИЧНЕ;4422881103
Село;РАННЯ ЗОРЯ;4422881104
Село;ЯРСЬКЕ;4422881105
Село;ЯСНОПРОМІНСЬКЕ;4422881106
Село;ЗОРИКІВКА;4422882201
Село;ПІВНІВКА;4422882202
Село;МОРОЗІВКА;4422883301
Село;ЗОРИНІВКА;4422883302
Село;ШЕЛЕСТІВКА;4422883306
Село;МУСІЇВКА;4422883601
Село;КИРНОСОВЕ;4422883603
Село;МИКІЛЬСЬКЕ;4422884401
Село;БЛАГОДАТНЕ;4422884402
Село;ВОДЯНОЛИПОВЕ;4422884403
Село;ДІБРОВА;4422884404
Село;ХОМИНСЬКЕ;4422884406
Село;ШЕЛЕСТІВКА;4422884407
Село;НОВОСТРІЛЬЦІВКА;4422885501
Село;БЕРЕЗОВЕ;4422885502
Село;ЗАРІЧНЕ;4422885504
Село;СТРІЛЬЦІВКА;4422886601
Село;КАЛМИКІВКА;4422886602
Село;НОВОМИКІЛЬСЬКЕ;4422886605
Місто;ЩАСТЯ;4423110100
СМТ;НОВОАЙДАР;4423155100
Село;АЙДАР-МИКОЛАЇВКА;4423155101
Село;МАЛОВЕНДЕЛІВКА;4423155102
Село;ОЛЕКСІЇВКА;4423180501
Село;МИХАЙЛЮКИ;4423180502
Село;БАХМУТІВКА;4423180701
Село;ДУБОВЕ;4423180702
Село;ДЕМЕНКОВЕ;4423180703
Село;МИХАЙЛІВКА;4423180704
Село;ЦАРІВКА;4423180705
Село;ГРЕЧИШКИНЕ;4423181201
Село;БЕЗГИНОВЕ;4423181202
Село;ОКНИНЕ;4423181203
Село;ПУТИЛИНЕ;4423181204
Село;ДЕНЕЖНИКОВЕ;4423181601
Село;ДМИТРІВКА;4423182301
Село;КОЛЯДІВКА;4423183401
Село;ВОВКОДАЄВЕ;4423183402
Село;КРИМСЬКЕ;4423183601
Село;ПРИЧЕПИЛІВКА;4423183602
Село;СОКІЛЬНИКИ;4423183603
Село;МУРАТОВЕ;4423184501
Село;КАПІТАНОВЕ;4423184502
Село;НОВООХТИРКА;4423185601
Село;ПОПАСНЕ;4423185602
Село;СТЕПНИЙ ЯР;4423185603
Селище;ПОБЄДА;4423186201
Село;ЧИСТОПІЛЛЯ;4423186205
Село;РАЙГОРОДКА;4423186701
